124,5,A005,1800091,PT BANK YUDHA BHAKTI,,24/04/2018,23/04/2019,167/PKS-AMD/BSP/VI/2018,AMD,1,4,,Aktif
125,5,A005,1800092,PT BANK YUDHA BHAKTI,,2017-01-11,31/10/2018,294/PKS-AMD/BSP/XI/2017,AMD,1,10,,Aktif
126,3,A003,1800092,PT BARKUN CITRA NUSANTARA,,2018-01-09,31/08/2019,254/PKS-AMD/BSP/IX/2018,AMD,1,10,,Aktif
127,6,A006,1800093,PT BERKAT ANUGERAH SEJAHTERA,,13/08/2018,2018-12-11,251/PKS-AMD/BSP/IX/2018,AMD,1,2,,Aktif
128,7,A007,1800094,"PT BFI FINANCE INDONESIA, Tbk",,22/02/2018,21/01/2019,111/PKS/BSP/IV/2018,PKS,1,4,,Aktif
129,3,A003,1800095,PT BHINNEKA MENTARIDIMENSI,,2018-05-05,2019-04-05,153/PKS-AMD/BSP/V/2018,AMD,1,4,,Aktif
130,5,A005,1800096,PT BHUMIDANA INDONESIA,,2018-01-01,31/12/2018,032/PKS-AMD/BSP/I/2018,AMD,1,13,,Aktif
131,1,A001,1800097,PT BINTANG INTAN SARANA,,2018-01-01,31/12/2018,322/PKS/BSP/XII/2017,PKS,1,6,,Aktif
132,1,A001,1800098,PT BPR BANDA RAYA,,2018-01-01,31/12/2018,011/PKS-AMD/BSP/I/2018,AMD,1,2,,Aktif
133,4,A004,1800099,PT BPR GROGOL JAYA,,20/12/2017,20/12/2018,031/PKS-AMD/BSP/I/2018,AMD,1,1,,Aktif
134,1,A001,1800099,PT BPR TUNAS MITRA MANDIRI,,2018-01-01,31/12/2018,028/PKS-AMD/BSP/I/2018,AMD,1,6,,Aktif
135,1,A001,1800100,PT BPR TUNAS MITRA MANDIRI,,2018-01-01,31/12/2018,027/PKS-AMD/BSP/I/2018,AMD,1,6,,Aktif
136,4,A004,1800101,PT BUANA KARYA SUGIARTHA,,2018-01-03,30/04/2019,105/PKS/BSP/III/2018,PKS,1,3,,Aktif
137,1,A001,1800102,"PT BUKIT ASAM (PERSERO), TBK",,2018-01-04,30/06/2018,060/PJJ/EKS-16200/HK.03/2017,PKS,1,20,,Aktif
